FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Marc,Albrighton,MID,LEI,5500000,0,109,3.3,6E-07,1.98181818181818E-05,0,420253,5,37,0,0,0,2,0,19.8,9942,0,1,109,0,0.4,0,2,12,0,8,0,8,3,479493,0,0,0,2,2478,4285,-1,0,452,Crystal Palace,West Ham,Arsenal,Tottenham,,2.6,7.3,2.1,158.1
Toby,Alderweireld,DEF,TOT,5800000,0,40,1.17647058823529,2.02839756592292E-07,6.89655172413793E-06,0,658829,3,8,0,0,0,0,0,6.9,360,-2,0,40,2,0.1,0,0.5,3,0,5,0,0,5,168585,0,0,0,0,990,1146,0,0,218,Watford,West Brom,Newcastle,Leicester,,0.9,1.2,0.6,30.7
Trent,Alexander-Arnold,DEF,LIV,4400000,0,69,1.97142857142857,4.48051948051948E-07,1.56818181818182E-05,0,348911,3,16,0,0,0,1,0,15.7,12623,-1,0,69,1,0.9,0,3.8,10,0,6,0,2,4.9,499258,0,0,0,3,1329,12952,0,0,335,Stoke,Chelsea,Brighton,,,2,1.3,2.1,79.3
Joe,Allen,MID,STK,5100000,2,103,3.1,6.07843137254902E-07,2.01960784313726E-05,0,255045,8,53,0,0,0,2,0,20.2,3138,-4,0,103,4,0.4,0,1.8,12,0,5,0,6,1.7,131369,0,0,0,2,2952,430,0,0,498,Liverpool,Crystal Palace,Swansea,,,1.7,2.8,2.5,149.2
Bamidele,Alli,MID,TOT,9000000,0,161,5,5.55555555555556E-07,1.78888888888889E-05,0,2278375,6,28,0,0,0,8,0,17.9,14959,-5,0,161,5,0.6,0,5.8,12,0,13,0,13,13.3,1244659,0,0,0,3,2704,22432,0,0,520,Watford,West Brom,Newcastle,Leicester,,6.2,11.8,6,246.4
Marcos,Alonso,DEF,CHE,7100000,0,150,4.8,6.76056338028169E-07,2.11267605633803E-05,0,1801673,5,29,0,0,0,6,0,21.1,93056,1,1,150,-1,0.3,0,1.8,13,0,12,0,2,15.9,1685448,0,0,0,4,2675,370,-1,0,600,Swansea,Liverpool,Huddersfield,Newcastle,,0,13.2,4.5,189.6
Daniel,Amartey,MID,LEI,4300000,0,13,1.6,3.72093023255814E-07,3.02325581395349E-06,0,28200,0,7,0,0,0,0,0,3,141,-2,0,13,2,0,0,0,0,0,3,0,0,0.2,23767,0,0,0,0,486,10,0,1,53,Crystal Palace,West Ham,Arsenal,Tottenham,,0,0,0,9.2
Ethan,Ampadu,MID,CHE,4500000,0,1,1,2.22222222222222E-07,2.22222222222222E-07,0,724,0,1,0,0,0,0,0,0.2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,816,0,0,0,0,10,7,0,0,6,Swansea,Liverpool,Huddersfield,Newcastle,,0,0,0,0.7
Nordin,Amrabat,MID,WAT,5000000,0,6,2,4E-07,1.2E-06,0,7655,0,3,0,0,0,0,0,1.2,1,0,0,6,0,0,0,0,0,0,1,0,0,0,3629,0,0,0,0,198,0,0,0,11,Tottenham,Newcastle,Man Utd,,,0,0,0,8
Keshi,Anderson,FWD,CRY,4500000,0,0,0,0,0,0,52355,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0.3,59825,0,0,0,0,0,20,0,0,0,Leicester,Stoke,West Brom,,,0,0,0,0
,Andre Ayew,MID,SWA,6800000,2,67,2.6,3.82352941176471E-07,9.85294117647059E-06,0,106172,4,37,0,0,0,3,0,9.9,513,-2,0,67,2,0.3,1,2,2,0,3,0,4,1,56878,0,0,0,0,1474,526,0,0,208,Chelsea,Bournemouth,Southampton,Stoke,,2.2,4.3,2.4,74.4
Michail,Antonio,MID,WHU,7400000,0,62,3,4.05405405405405E-07,8.37837837837838E-06,0,90206,1,23,0,0,0,3,0,8.4,121,-1,0,62,1,0,0,0.3,1,0,7,0,2,0.2,85859,0,0,0,0,1350,23,0,0,188,Man City,Leicester,Man Utd,Everton,,0,0,0,94.6
Scott,Arfield,MID,BUR,4900000,0,56,3.1,6.3265306122449E-07,1.14285714285714E-05,0,44532,3,15,0,0,0,2,0,11.4,117,-1,0,56,1,0,0,0,6,0,6,0,2,0.2,48029,0,0,0,2,1330,3,0,0,185,Brighton,Arsenal,Bournemouth,,,0,0,0,60.1
Marko,Arnautovic,MID,WHU,7000000,6,122,4.5,6.42857142857143E-07,1.74285714285714E-05,0,1077975,4,45,0,0,0,10,0,17.4,27487,0,0,122,0,1,0,7.3,10,0,5,0,5,6.2,1408075,0,0,0,3,1961,31335,0,1,368,Man City,Leicester,Man Utd,Everton,,3.7,8.6,6.5,201.2
Harry,Arter,MID,BOU,4700000,0,27,0.771428571428571,1.64133738601824E-07,5.74468085106383E-06,0,41800,4,13,0,0,0,1,0,5.7,111,-3,0,27,3,0,0,0,0,0,3,0,0,0.4,14056,0,0,0,0,959,25,0,0,156,Southampton,Swansea,Burnley,,,0,0.4,0.4,29.2
Christian,Atsu,MID,NEW,4800000,0,78,2.8,5.83333333333333E-07,1.625E-05,0,535813,1,22,0,0,0,2,0,16.3,3303,-2,0,78,2,0.1,0,0.5,5,0,6,0,4,1.3,453916,0,0,0,1,1776,27,0,0,236,West Brom,Watford,Tottenham,Chelsea,,3.1,3.3,2.4,112.9
Pierre-Emerick,Aubameyang,FWD,ARS,10700000,4,54,1.58823529411765,1.48433205057724E-07,5.04672897196262E-06,0,650304,0,10,0,0,0,6,0,5,198782,2,1,54,-2,0.7,1,7,6,0,2,0,3,11.8,1342205,0,0,0,1,720,12350,-1,0,219,Man Utd,Burnley,Leicester,Huddersfield,,0.8,2,0.8,78.4
Serge,Aurier,DEF,TOT,5900000,0,77,2.26470588235294,3.83848454636092E-07,1.30508474576271E-05,0,106135,1,13,0,0,0,2,0,13.1,1901,-1,0,77,1,0.1,0,0.8,9,0,6,0,2,0.8,137814,0,0,0,3,1427,660,0,1,335,Watford,West Brom,Newcastle,Leicester,,2.5,3.3,1.8,81.4
Charlie,Austin,FWD,SOU,5800000,0,62,1.82352941176471,3.14401622718053E-07,1.06896551724138E-05,0,467965,1,14,0,0,0,7,0,10.7,4597,-7,0,62,7,0.4,0,2.3,9,0,1,0,0,1.2,457251,0,0,0,1,724,9533,0,0,197,Bournemouth,Everton,Swansea,Man City,,1.6,2.2,1.2,86.2
Cesar,Azpilicueta,DEF,CHE,6900000,0,157,4.8,6.95652173913044E-07,2.27536231884058E-05,0,1113910,1,34,0,0,0,2,0,22.8,13557,4,0,157,-4,0.6,0,3.8,22,0,13,0,6,20.6,1513530,1,0,0,4,2970,39391,0,0,812,Swansea,Liverpool,Huddersfield,Newcastle,,5,13.2,4.5,149.9
Daniel,Bachmann,GLK,WAT,4000000,0,0,0,0,0,0,4052,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8567,0,0,0,0,0,42,0,0,0,Tottenham,Newcastle,Man Utd,,,0,0,0,0
,Badou Ndiaye,MID,STK,5000000,9,28,0.8,1.6E-07,5.6E-06,0,1525,4,14,0,0,0,1,0,5.6,75,-5,0,28,5,0.7,0,3.3,3,0,1,0,1,0,2536,0,0,0,0,868,269,0,0,108,Liverpool,Crystal Palace,Swansea,,,0.4,0.4,0.4,42.5
Eric,Bailly,DEF,MUN,6000000,0,48,1.41176470588235,2.35294117647059E-07,8E-06,0,900133,2,6,0,0,0,1,0,8,4078,0,0,48,0,0.1,0,0.3,3,0,6,0,0,5.8,619842,1,0,0,1,909,272,0,0,218,Arsenal,Brighton,West Ham,Watford,,1.2,1.5,1.3,31.4
Leighton,Baines,DEF,EVE,5600000,8,67,1.91428571428571,3.41836734693878E-07,1.19642857142857E-05,0,484531,1,30,0,0,0,2,0,12,10961,-4,0,67,4,0.8,0,4.3,7,0,4,0,2,3.8,156450,0,0,0,2,1639,2254,0,0,324,Huddersfield,Southampton,West Ham,,,0,1.8,1.3,73.5
Tiemoue,Bakayoko,MID,CHE,4900000,0,70,2.7,5.51020408163265E-07,1.42857142857143E-05,0,350485,2,21,0,0,0,2,0,14.3,362,-1,0,70,1,0.1,0,0.5,5,0,9,0,2,1.2,358763,0,0,0,1,1851,123,0,1,322,Swansea,Liverpool,Huddersfield,Newcastle,,2,5,2,105.2
Sam,Baldock,FWD,BHA,4900000,0,2,0.0588235294117647,1.20048019207683E-08,4.08163265306122E-07,0,2986,0,1,0,0,0,0,0,0.4,39,-1,0,2,1,0.1,0,0.3,0,0,0,0,0,0,2620,0,0,0,0,30,38,0,0,4,Burnley,Man Utd,Man City,Liverpool,,0,0,0,0.7
Beni,Baningime,MID,EVE,4500000,0,7,0.2,4.44444444444444E-08,1.55555555555556E-06,0,525,1,2,0,0,0,0,0,1.6,8,0,0,7,0,0.1,0,0.5,0,0,0,0,0,0,663,0,0,0,0,192,14,0,0,20,Huddersfield,Southampton,West Ham,,,0.1,0.1,0.1,1.3
Phil,Bardsley,DEF,BUR,4100000,0,33,0.942857142857143,2.29965156794425E-07,8.04878048780488E-06,0,70132,5,13,0,0,0,0,0,8,1002,-4,1,33,4,0,0,0,0,0,4,0,0,0.4,80324,0,0,0,0,1125,217,-1,0,193,Brighton,Arsenal,Bournemouth,,,0.6,0.5,0.5,38.3
Ross,Barkley,MID,CHE,7300000,0,1,0.0294117647058824,4.0290088638195E-09,1.36986301369863E-07,0,14618,0,1,0,0,0,0,0,0.1,27,-2,0,1,2,0,0,0,0,0,0,0,0,0.2,5629,0,0,0,0,53,29,0,0,4,Swansea,Liverpool,Huddersfield,Newcastle,,0,0,0,3.9
Ashley,Barnes,FWD,BUR,5500000,7,89,2.6,4.72727272727273E-07,1.61818181818182E-05,0,162395,10,22,0,0,0,9,0,16.5,15043,0,-1,89,0,0.8,0,4.6,9,0,4,0,0,5.4,429839,0,0,0,0,2039,26155,1,0,285,Brighton,Arsenal,Bournemouth,,,2.8,1.6,2.7,137.6
Harvey,Barnes,MID,LEI,4500000,0,1,0.0294117647058824,6.5359477124183E-09,2.22222222222222E-07,0,22,0,0,0,0,0,0,0,0.2,11,0,0,1,0,0.1,0,0.5,0,0,0,0,0,0,62,0,0,0,0,1,28,0,0,2,Crystal Palace,West Ham,Arsenal,Tottenham,,0,0,0,0.3
Modou,Barrow,MID,SWA,5000000,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,Chelsea,Bournemouth,Southampton,Stoke,,0,0,0,0
Gareth,Barry,MID,WBA,4400000,0,56,2.2,5E-07,1.27272727272727E-05,0,136369,4,35,0,0,0,1,0,12.7,498,-1,0,56,1,0,0,0,0,0,4,0,2,0.8,70670,0,0,0,0,1921,12,0,0,287,Newcastle,Tottenham,Crystal Palace,,,0,0,0,82
Kyle,Bartley,DEF,SWA,4300000,1,5,0.147058823529412,3.41997264021888E-08,1.16279069767442E-06,0,5837,2,4,0,0,0,0,0,1.2,40,-2,0,5,2,0.1,0,0.3,0,0,0,0,0,0.1,1436,0,0,0,0,233,31,0,0,29,Chelsea,Bournemouth,Southampton,Stoke,,0,0.2,0.1,11.2
Michy,Batshuayi,FWD,CHE,8100000,0,25,2.1,2.59259259259259E-07,3.08641975308642E-06,0,181917,0,7,0,0,0,2,0,3.1,43,-4,0,25,4,0,0,0,3,0,1,0,1,0.5,121644,1,0,0,1,351,4,0,0,77,Swansea,Liverpool,Huddersfield,Newcastle,,0,0,0,25.7
Moritz,Bauer,DEF,STK,4500000,2,34,0.971428571428571,2.15873015873016E-07,7.55555555555556E-06,0,36882,2,15,0,0,0,0,0,7.6,3425,0,0,34,0,0.6,0,2.8,1,0,4,0,0,0.5,63821,0,0,0,0,1037,142,0,0,169,Liverpool,Crystal Palace,Swansea,,,0.5,0.9,0.5,36.6
Jan,Bednarek,DEF,SOU,4100000,0,13,0.382352941176471,9.32568149210904E-08,3.17073170731707E-06,0,11685,0,3,0,0,0,1,0,3.2,1416,-4,0,13,4,0.8,0,3.3,0,0,1,0,0,0.3,17290,0,0,0,1,180,11537,0,0,48,Bournemouth,Everton,Swansea,Man City,,0.2,0.4,0.2,8.3
Asmir,Begovic,GLK,BOU,4500000,0,98,2.8,6.22222222222222E-07,2.17777777777778E-05,0,287339,2,58,0,101,0,0,0,21.8,3850,0,0,98,0,0.4,0,1.8,4,0,5,0,0,4.2,222098,0,0,1,3,3150,1345,0,0,571,Southampton,Swansea,Burnley,,,2.7,2.9,2.4,73.5
Valon,Behrami,MID,WAT,4500000,0,0,0,0,0,0,10040,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,648,0,0,0,0,0,1,0,0,0,Tottenham,Newcastle,Man Utd,,,0,0,0,0
Hector,Bellerin,DEF,ARS,5900000,2,109,3.4,5.76271186440678E-07,1.84745762711864E-05,0,951063,5,42,0,0,0,2,0,18.5,14221,-1,0,109,1,0.3,0,2,7,0,10,0,2,9.9,713189,0,0,0,1,2780,2050,0,0,553,Man Utd,Burnley,Leicester,Huddersfield,,2.2,6.1,2.4,145.6
Yohan,Benalouane,DEF,LEI,4200000,0,0,0,0,0,0,3761,0,0,0,0,0,0,0,0,16,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,1701,0,0,0,0,0,16,0,0,0,Crystal Palace,West Ham,Arsenal,Tottenham,,0,0,0,0
Christian,Benteke,FWD,CRY,7500000,1,77,2.8,3.73333333333333E-07,1.02666666666667E-05,0,522973,6,36,0,0,0,2,0,10.3,3275,-5,0,77,5,0.1,1,0.8,5,0,6,0,7,2.5,190858,0,0,0,0,2181,1223,0,0,147,Leicester,Stoke,West Brom,,,2.9,2.7,3.1,147.8
Saido,Berahino,FWD,STK,5500000,0,20,0.571428571428571,1.03896103896104E-07,3.63636363636364E-06,0,35840,0,13,0,0,0,0,0,3.6,62,-5,1,20,5,0.1,1,0.3,0,0,2,0,1,0.3,15460,0,0,0,0,483,29,-1,0,42,Liverpool,Crystal Palace,Swansea,,,0.3,0.3,0.3,23.7
Steven,Berghuis,MID,WAT,5000000,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,Tottenham,Newcastle,Man Utd,,,0,0,0,0
,Bernardo Silva,MID,MCI,7200000,11,99,2.91176470588235,4.04411764705882E-07,1.375E-05,0,210892,0,9,0,0,0,5,0,13.8,3062,-8,0,99,8,0.5,0,3.8,6,0,8,0,5,1.4,171977,0,0,0,2,1330,12552,0,0,398,West Ham,Huddersfield,Brighton,Southampton,,2.2,5.9,2.5,130.2
Ryan,Bertrand,DEF,SOU,5300000,0,87,2.8,5.28301886792453E-07,1.64150943396226E-05,0,804629,2,47,0,0,0,0,0,16.4,1437,-2,0,87,2,0.5,0,2.8,4,0,6,0,5,5.1,315189,0,0,0,1,2785,6301,0,0,502,Bournemouth,Everton,Swansea,Man City,,2.3,4.1,2.3,127.9
Muhamed,Besic,MID,EVE,4200000,0,2,1,2.38095238095238E-07,4.76190476190476E-07,0,15557,0,0,0,0,0,0,0,0.5,46,-3,0,2,3,0,0,0,0,0,0,0,0,0.1,11688,0,0,0,0,46,17,0,0,10,Huddersfield,Southampton,West Ham,,,0,0,0,3
Philip,Billing,MID,HUD,4400000,0,18,0.529411764705882,1.20320855614973E-07,4.09090909090909E-06,0,38601,3,9,0,0,0,0,0,4.1,36,-1,0,18,1,0.2,0,0.7,0,0,3,0,0,0.2,32170,0,0,0,0,623,8,0,0,78,Everton,Man City,Chelsea,Arsenal,,0.3,0.6,0.3,16.4
Daley,Blind,DEF,MUN,5100000,0,21,0.617647058823529,1.21107266435986E-07,4.11764705882353E-06,0,189574,0,0,0,0,0,0,0,4.1,51,-4,0,21,4,0.1,0,0.3,0,0,3,0,0,0.9,135977,0,0,0,0,284,35,0,0,91,Arsenal,Brighton,West Ham,Watford,,0.3,0.6,0.3,15.2
Jeremie,Boga,MID,CHE,6000000,0,1,1,1.66666666666667E-07,1.66666666666667E-07,0,998,0,0,0,0,0,0,0,0.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,17,1,0,0,1,Swansea,Liverpool,Huddersfield,Newcastle,,0,0,0,0
,Bojan,MID,STK,5500000,0,2,2,3.63636363636364E-07,3.63636363636364E-07,0,6607,0,1,0,0,0,0,0,0.4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1884,0,0,0,0,71,0,0,0,5,Liverpool,Crystal Palace,Swansea,,,0,0,0,1.9
Yannick,Bolasie,MID,EVE,6400000,1,33,0.942857142857143,1.47321428571429E-07,5.15625E-06,0,16801,0,14,0,0,0,1,0,5.2,1196,-1,0,33,1,0.5,0,3.3,0,0,3,0,1,0.2,18788,0,0,0,0,796,366,0,0,76,Huddersfield,Southampton,West Ham,,,0.5,0.5,0.5,37.9
Gaetan,Bong,DEF,BHA,4400000,0,48,2.3,5.22727272727273E-07,1.09090909090909E-05,0,14107,2,29,0,0,0,0,0,10.9,202,-1,0,48,1,0.3,0,1.3,3,0,4,0,0,0.2,15529,1,0,0,1,1877,214,0,0,297,Burnley,Man Utd,Man City,Liverpool,,1.5,3.6,1.5,45.7
Wilfried,Bony,FWD,SWA,5600000,0,33,2.2,3.92857142857143E-07,5.89285714285714E-06,0,88335,2,8,0,0,0,2,0,5.9,47,-4,0,33,4,0,0,0,3,0,2,0,1,0.1,87827,0,0,0,0,701,34,0,0,103,Chelsea,Bournemouth,Southampton,Stoke,,0,0,0,39.3
Artur,Boruc,GLK,BOU,4100000,0,0,0,0,0,0,159134,0,0,0,0,0,0,0,0,432,-4,0,0,4,0,0,0,0,0,0,0,0,1.4,10230,0,0,0,0,0,103,0,0,0,Southampton,Swansea,Burnley,,,0,0,0,0
Sofiane,Boufal,MID,SOU,5700000,0,55,1.61764705882353,2.83797729618163E-07,9.64912280701754E-06,0,23848,1,24,0,0,0,2,0,9.6,122,-3,0,55,3,0.1,0,0.3,2,0,1,0,2,0.2,17921,0,0,0,0,1206,39,0,0,215,Bournemouth,Everton,Swansea,Man City,,1.1,1.9,0.8,103.7
,Brad Smith,DEF,BOU,3900000,0,0,0,0,0,0,201532,0,0,0,0,0,0,0,0,1499,-1,0,0,1,0,0,0,0,0,0,0,0,3.2,111763,0,0,0,0,0,1154,0,0,0,Southampton,Swansea,Burnley,,,0,0,0,0
Robbie,Brady,MID,BUR,5300000,0,56,3.7,6.9811320754717E-07,1.05660377358491E-05,0,212851,3,12,0,0,0,1,0,10.6,72,-2,0,56,2,0,0,0,7,0,6,0,4,0.4,199030,0,0,0,1,1277,18,0,0,216,Brighton,Arsenal,Bournemouth,,,0,0,0,97.3
Claudio,Bravo,GLK,MCI,4500000,0,1,0.0294117647058824,6.5359477124183E-09,2.22222222222222E-07,0,40447,0,0,0,0,0,0,0,0.2,162,-5,0,1,5,0,0,0,0,0,0,0,0,0.5,9312,0,0,0,0,44,116,0,0,4,West Ham,Huddersfield,Brighton,Southampton,,0,0,0,0.3
Miguel,Britos,DEF,WAT,4300000,0,22,0.628571428571429,1.46179401993355E-07,5.11627906976744E-06,0,145841,3,16,0,0,0,1,0,5.1,62,-2,0,22,2,0,0,0,0,0,2,0,0,0.5,115455,0,0,0,0,795,21,0,1,149,Tottenham,Newcastle,Man Utd,,,0.3,0.3,0.3,27.3
Leon,Britton,MID,SWA,4400000,0,9,0.264705882352941,6.01604278074866E-08,2.04545454545455E-06,0,8916,1,1,0,0,0,0,0,2,13,-1,0,9,1,0,0,0,0,0,3,0,0,0.1,4214,0,0,0,0,269,6,0,0,25,Chelsea,Bournemouth,Southampton,Stoke,,0.1,0.2,0.1,1.6
Isaiah,Brown,MID,BHA,5200000,0,16,1.2,2.30769230769231E-07,3.07692307692308E-06,0,3968,0,8,0,0,0,0,0,3.1,12,-3,0,16,3,0,0,0,0,0,0,0,0,0,710,0,0,0,0,302,16,0,0,60,Burnley,Man Utd,Man City,Liverpool,,0,0,0,14.5
Marcus,Browne,MID,WHU,4500000,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,18,0,0,0,Man City,Leicester,Man Utd,Everton,,0,0,0,0
,Bruno,DEF,BHA,4500000,0,68,3.1,6.88888888888889E-07,1.51111111111111E-05,0,108293,3,20,0,0,0,0,0,15.1,864,0,0,68,0,0.1,0,0.5,5,0,8,0,0,0.8,136963,0,0,0,0,1746,79,0,0,355,Burnley,Man Utd,Man City,Liverpool,,2.5,5.7,2.5,47.7
Chris,Brunt,MID,WBA,5000000,5,72,3.1,6.2E-07,1.44E-05,0,140047,3,21,0,0,0,0,0,14.4,315,-5,0,72,5,0.6,0,2.8,6,0,7,0,7,0.5,128277,0,0,0,0,1647,333,0,0,344,Newcastle,Tottenham,Crystal Palace,,,2.3,2.6,2.2,109.5
Harry,Bunn,MID,HUD,4500000,0,0,0,0,0,0,630,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,2,0,0,0,Everton,Man City,Chelsea,Arsenal,,0,0,0,0
Oliver,Burke,MID,WBA,4900000,1,23,0.657142857142857,1.34110787172012E-07,4.69387755102041E-06,0,4142,0,11,0,0,0,0,0,4.7,17,-6,0,23,6,0.1,0,0.5,0,0,0,0,2,0,4424,0,0,0,0,356,6,0,0,75,Newcastle,Tottenham,Crystal Palace,,,0.3,0.3,0.3,22.5
Reece,Burke,DEF,WHU,4000000,0,0,0,0,0,0,1942,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2919,0,0,0,0,0,4,0,0,0,Man City,Leicester,Man Utd,Everton,,0,0,0,0
Matt,Butcher,MID,BOU,4500000,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,6,0,0,0,Southampton,Swansea,Burnley,,,0,0,0,0
Jack,Butland,GLK,STK,5000000,5,110,3.4,6.8E-07,2.2E-05,0,181192,0,58,0,134,0,0,0,22,4029,0,0,110,0,0.6,0,3,13,0,5,0,0,2.6,159586,1,0,0,2,2880,530,0,0,622,Liverpool,Crystal Palace,Swansea,,,3.1,4.8,3,92.8
Sam,Byram,DEF,WHU,4200000,0,5,1,2.38095238095238E-07,1.19047619047619E-06,0,10712,1,7,0,0,0,0,0,1.2,48,-3,0,5,3,0,0,0,0,0,0,0,0,0.1,3388,0,0,0,0,246,8,0,0,41,Man City,Leicester,Man Utd,Everton,,0,0,0,14.5
Willy,Caballero,GLK,CHE,4800000,0,9,0.264705882352941,5.51470588235294E-08,1.875E-06,0,13068,0,3,0,6,0,0,0,1.9,145,-2,0,9,2,0.1,0,0.5,0,0,1,0,0,0.1,10713,0,0,0,0,180,49,0,0,43,Swansea,Liverpool,Huddersfield,Newcastle,,0.1,0.2,0.1,4.5
Yohan,Cabaye,MID,CRY,5300000,3,66,1.88571428571429,3.55795148247978E-07,1.24528301886792E-05,0,34903,6,35,0,0,0,0,0,12.5,127,-2,0,66,2,0.5,0,2.8,3,0,6,0,4,0.2,19739,0,0,0,0,2132,212,0,0,377,Leicester,Stoke,West Brom,,,1.3,1.1,1.6,144
